ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
cayogara,Cara Yoga & Life,300325086,251,10607,10607,2026-08-24T09:24:06.000Z,false,https://www.instagram.com/p/Dcat8QYz_z6/
serendipity_leana,Leana,30832966839,326,,,2026-08-20T12:44:09.000Z,false,https://www.instagram.com/p/DcQypgUkzbY/
helen.dailyvibes,Helen ♡.˚｜台北探店｜好物分享,7384856458,42,2341,1796,2026-08-19T09:21:46.000Z,false,https://www.instagram.com/p/DcN2jIlJr_2/
rrei_ier,怜 Rei,330330624,289,18885,18885,2026-08-17T12:27:42.000Z,false,https://www.instagram.com/p/DcJCJL0v9f4/
cpdavid251,大衛隊長,45681556688,348,19617,19617,2026-08-12T09:30:42.000Z,false,https://www.instagram.com/p/Db72AbUSTh4/
sevenchi928,漆漆/ Chi,1472623822,28,1595,1178,2026-08-04T10:26:39.000Z,false,https://www.instagram.com/p/DbnU8uDhYHh/
chieko.ishigami,石上智恵子  chieko ishigami,2053399385,29,830,830,2026-08-01T11:46:10.000Z,false,https://www.instagram.com/p/DbfwyUURlxD/
at_cosmetw,@cosme Taiwan 台灣,2216368244,67,,,2026-07-30T08:49:14.000Z,false,https://www.instagram.com/p/DbaTEkSk0SW/
sharo.holic,𝗠𝗮𝗸𝗲𝘂𝗽|𝗕𝗲𝗮𝘂𝘁𝘆|𝗦𝗸𝗶𝗻𝗰𝗮𝗿𝗲 𝗥𝗘𝗩𝗜𝗘𝗪,62766145752,884,,,2026-07-26T12:28:52.000Z,false,https://www.instagram.com/p/DbQZBpZE17S/
_shih05,Shihoko,1736384835,-1,,,2026-07-23T13:14:05.000Z,false,https://www.instagram.com/p/DbIv0SfkgjC/
whataiwears,ai｜minimal fashion,66741107833,19,1167,1167,2026-07-18T12:21:47.000Z,false,https://www.instagram.com/p/Da7xaC5z-a4/
emi_nishino,西野恵未 EmiNishino 니시노에미,8500661,833,,,2026-07-16T05:26:04.000Z,false,https://www.instagram.com/p/Da14sQcGO0U/
yoing1983,侑侑,43989342924,1,,,2026-07-15T22:53:30.000Z,false,https://www.instagram.com/p/Da1LJBPTJcy/
taketoiimasu,Takehiro たけひろ,10259491959,-1,,,2026-07-15T13:35:27.000Z,false,https://www.instagram.com/p/Da0L5vhH4yn/
coco.draw10,可可，手繪！♡美妝♡穿搭♡手帳♡,4487561317,-1,7659,6928,2026-07-04T13:48:06.000Z,false,https://www.instagram.com/p/DaX4LlxSjnu/
ananihow_421,"安安 Anan｜YI REN ,CHEN 高雄 台中健身教練",4188027178,54,3692,3432,2026-06-30T12:31:08.000Z,false,https://www.instagram.com/p/DaNbdwAzTwv/
serendipity_leana,Leana,30832966839,216,,,2026-06-29T14:12:03.000Z,false,https://www.instagram.com/p/DaLDXx9n-ee/
willtotheiam,William,4869107564,84,4125,4125,2026-06-28T14:17:12.000Z,false,https://www.instagram.com/p/DaIfJxlRYEz/
hanhanpovideo,阿翰po影片,6033704723,37460,3388128,957307,2026-06-23T10:59:35.000Z,false,https://www.instagram.com/p/DZ7QCQaN2wX/
anthony07_17,安東尼藥師Anthony,51242932353,49,3803,3238,2026-06-10T10:00:09.000Z,false,https://www.instagram.com/p/DZZrbE8ShE8/
rx.jackchou,煉金​藥師 周洸羽｜品牌×藥局×白袍,72444741926,27,1508,1120,2026-06-09T10:00:10.000Z,false,https://www.instagram.com/p/DZXGP31yQ0z/
keiko.423,丸山慧子,1020673890,-1,,,2026-06-08T14:55:56.000Z,false,https://www.instagram.com/p/DZVDszGkrCY/
_73__________,❤︎ 𝙉 𝙖 𝙣 𝙖 𝙢 𝙞  ❤︎,1261074766,-1,2823,2823,2026-06-08T11:30:33.000Z,false,https://www.instagram.com/p/DZUr5BwONrk/
uucaiqq,YUYU ☻ 旅遊｜住宿｜美食,997339290,378,11575,9222,2026-06-08T08:30:39.000Z,false,https://www.instagram.com/p/DZUXctNh9uc/
pharm_kaku,瑋哥 Kaku藥師,77540303945,58,3359,2433,2026-06-08T10:00:27.000Z,false,https://www.instagram.com/p/DZUh-n-y_0p/
meimei_studio11,"",62101967516,7,390,390,2026-06-05T20:00:17.000Z,false,https://www.instagram.com/p/DZN31yGMTN8/
i_am_babyui,YUI SHIMIZU / 表参道美容師 /耳ツボジュエリー,358120278,-1,952,952,2026-06-05T11:57:09.000Z,true,https://www.instagram.com/p/DZNAymbP_1H/
tsai.pharm,藥師菜菜子-蔡依純藥師｜養生·健康·藥品知識,430664410,40,2714,2714,2026-06-04T10:14:55.000Z,false,https://www.instagram.com/p/DZKQFViSzcL/
serendipity_leana,Leana,30832966839,912,,,2026-05-29T17:36:02.000Z,false,https://www.instagram.com/p/DY7mEumHwf7/
