ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
i_am_twelf_kiba,牙 (キバちゃん🦷),1541214710,13,,,2026-08-25T05:14:38.000Z,false,https://www.instagram.com/p/Dcc3LivkXZj/
w.m_010706,Hualing鬆餅小狐狸🦊,55455427138,70,586,586,2026-08-25T03:50:10.000Z,false,https://www.instagram.com/p/DccrDOiB4la/
dingding_871216,蔡靖雯𝐃𝐢𝐧𝐠𝐝𝐢𝐧𝐠,1701674224,274,13498,13217,2026-08-23T15:38:15.000Z,false,https://www.instagram.com/p/DcY0pd5pGBi/
hohappipod,好開心,42103530674,1685,98292,98292,2026-08-20T11:15:41.000Z,false,https://www.instagram.com/p/DcQoR_HzQWb/
kyunghoon_gil,小朗哥爸爸 가람아빠,10943743362,392,14859,13962,2026-08-19T10:28:01.000Z,true,https://www.instagram.com/p/DcN9hM7NToV/
yesung_outfits,Yesung_Outfits,40851655136,61,,,2026-08-19T05:16:32.000Z,false,https://www.instagram.com/p/DcNag2exC9l/
butterfly_1023,Butterfly 奶油飛🦋,1934218444,2258,213583,140359,2026-08-18T13:04:25.000Z,false,https://www.instagram.com/p/DcLrC1uyLBj/
litbsru,"",47971316617,34,420,420,2026-08-17T14:26:18.000Z,false,https://www.instagram.com/p/DcJPGZQzXfV/
jeffrey0932,Han Jeffrey,328938947,306,31449,30928,2026-08-19T10:00:05.000Z,false,https://www.instagram.com/p/DcN7LkPBVSP/
amy038845,杜愛愛,6956920132,8,,,2026-08-16T09:42:59.000Z,false,https://www.instagram.com/p/DcGKvJNE4yN/
yesung1106,Yesung,598660190,31869,,,2026-08-15T08:39:06.000Z,false,https://www.instagram.com/p/DcDeoR3EbOx/
hohappipod,好開心,42103530674,578,67667,67667,2026-08-13T10:59:27.000Z,false,https://www.instagram.com/p/Db-k6VLzS2V/
marieclairetw,Marie Claire Taiwan 美麗佳人,529476851,98,17371,17371,2026-08-13T09:30:55.000Z,false,https://www.instagram.com/p/Db-aZVxPA-x/
marieclairetw,Marie Claire Taiwan 美麗佳人,529476851,103,12780,12780,2026-08-13T09:23:30.000Z,false,https://www.instagram.com/p/Db-ZsCMPUJH/
marieclairetw,Marie Claire Taiwan 美麗佳人,529476851,138,18891,18891,2026-08-13T09:14:51.000Z,false,https://www.instagram.com/p/Db-XNzjvOwk/
yesung_outfits,Yesung_Outfits,40851655136,288,,,2026-08-09T13:23:14.000Z,false,https://www.instagram.com/p/Db0iPPjR1V0/
yesung1106,Yesung,598660190,40930,,,2026-08-09T11:29:17.000Z,false,https://www.instagram.com/p/Db0VVfLESAc/
