ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
emmabee1235,Roro&兔兔的跑跳人生,2400790644,-1,,,2026-08-26T03:11:00.000Z,false,https://www.instagram.com/p/DcfN03ToCyC/
emmabee1235,Roro&兔兔的跑跳人生,2400790644,-1,41,41,2026-08-25T04:52:15.000Z,false,https://www.instagram.com/p/Dcc0dBBtEJb/
emmabee1235,Roro&兔兔的跑跳人生,2400790644,-1,,,2026-08-25T02:52:37.000Z,false,https://www.instagram.com/p/Dccm7W_IBYi/
emmabee1235,Roro&兔兔的跑跳人生,2400790644,314,,,2026-06-26T03:17:10.000Z,false,https://www.instagram.com/p/DaCKCseIBNb/
lauralove0305,蘿拉女孩愛分享🌟,25451165556,144,771,521,2026-08-24T13:34:32.000Z,false,https://www.instagram.com/p/DcbLhZAzvqd/
op__do,Lynn｜美食｜團購｜生活,1946402364,415,2151,2151,2026-08-24T04:14:14.000Z,false,https://www.instagram.com/p/DcaLOlBBT7K/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,0,60,60,2026-08-22T04:39:04.000Z,false,https://www.instagram.com/p/DcVEr6gxTn3/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,0,43,43,2026-08-22T04:35:05.000Z,false,https://www.instagram.com/p/DcVELrnRr2o/
benwooooo,小樂 吳思賢 / Ben Wooooo,241829422,2623,,,2026-08-20T16:48:26.000Z,false,https://www.instagram.com/p/DcROmtFE1nc/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,0,61,61,2026-08-20T00:45:41.000Z,false,https://www.instagram.com/p/DcPgZtFJ9qm/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,0,57,57,2026-08-20T00:27:15.000Z,false,https://www.instagram.com/p/DcPeNRAJ8qV/
brianwu_1112,吳尚澤 Brian Wu,1553106509,113,,,2026-08-18T08:33:18.000Z,false,https://www.instagram.com/p/DcLMWbjkdjX/
yxw_daily,Lynn,24755289704,1559,26904,26904,2026-08-14T09:01:15.000Z,false,https://www.instagram.com/p/DcA7vIeRaNg/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,0,88,88,2026-08-16T04:22:22.000Z,false,https://www.instagram.com/p/DcFmBGTxIQp/
chiu2239_back,Max ｜在唸營養系的健身教練｜帳號重啟,56066043946,1202,74264,61015,2026-08-14T13:08:30.000Z,false,https://www.instagram.com/p/DcBYU-3TA06/
97.yuzu,煙卷🍡 開箱 • 美食 • 旅遊,47493833639,-1,5857,5857,2026-08-14T11:33:33.000Z,false,https://www.instagram.com/p/DcBNplCTZ9P/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,0,87,87,2026-08-14T09:12:41.000Z,false,https://www.instagram.com/p/DcA9nTGJvi6/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,0,91,91,2026-08-14T09:11:14.000Z,false,https://www.instagram.com/p/DcA9b8UJf-o/
moon.0215,Moon 沐木🌛,7292070233,506,14787,14787,2026-08-14T05:04:23.000Z,true,https://www.instagram.com/p/DcAhGs1StXq/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,0,78,78,2026-08-14T04:38:48.000Z,false,https://www.instagram.com/p/DcAeIN1RuHp/
lbstivipin,Vipin Vipin,5464936194,1,166,143,2026-08-13T11:27:27.000Z,false,https://www.instagram.com/p/Db-oQn1Psbh/
yvette_0426,𝕐𝕧𝕖𝕥𝕥𝕖 于晨 ♥︎ ♡︎ 美食 保養 運動,28440085059,1,113,113,2026-08-11T14:37:10.000Z,false,https://www.instagram.com/p/Db50W82JDIv/
