ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
sunnyh_55,𝗦𝘂𝗻𝗻𝘆,462425490,39,2451,1825,2026-08-17T07:30:36.000Z,true,https://www.instagram.com/p/DcIgOUJBmn-/
1980woman,E.wawa,384457998,2,2407,2015,2026-08-19T04:51:47.000Z,false,https://www.instagram.com/p/DcNXLm3Rk9J/
sn_nnmnmny,香香 𝐒𝐨𝐥𝐞🍒,1431830258,-1,9303,8030,2026-08-15T13:37:17.000Z,false,https://www.instagram.com/p/DcEAemPpiBw/
lin_nian_,林念念,1174992658,297,31950,29235,2026-08-13T10:15:22.000Z,true,https://www.instagram.com/p/Db-fymeuwgH/
an9_style,安9兒｜育兒美妝｜敏弱肌保養,855820715,15,1531,1076,2026-08-13T09:01:48.000Z,true,https://www.instagram.com/p/Db-XDV5Sj1n/
chalk_lie,巧克力,1190451049,57,34360,28025,2026-08-13T06:49:09.000Z,true,https://www.instagram.com/p/Db-IQsCBbGM/
yu_yuan1216,芋圓｜生活日常,2350971890,226,,,2026-06-01T10:00:54.000Z,false,https://www.instagram.com/p/DZCgX24E79D/
jj_.609,很划姐姐,72436080599,2,251,251,2026-08-10T09:25:27.000Z,false,https://www.instagram.com/p/Db2rX96R-6B/
jj.janet,J老闆很愛美,1398658329,27,1212,819,2026-08-07T14:13:53.000Z,false,https://www.instagram.com/p/DbvdyqivdKX/
7877lillian,泰台混血的琦琦 ⁷⁷,1535508727,119,24819,21718,2026-08-05T11:30:05.000Z,false,https://www.instagram.com/p/DbqCQWPBMjN/
shawnolife,長毛象 Shawn 🦣,6544950450,113,42068,36289,2026-08-03T05:16:28.000Z,false,https://www.instagram.com/p/DbkM6aJv9nC/
sunny___gu,孟孟闆娘｜精油按摩｜高雄做臉｜G5體雕｜臉部撥筋｜采耳,3711481779,56,36954,31582,2026-08-03T10:23:22.000Z,true,https://www.instagram.com/p/Dbkw9s5yCXq/
yuyubb21,ʏᴜʏᴜ,12316173,-1,7017,5912,2026-08-03T12:24:42.000Z,true,https://www.instagram.com/p/DbkmWi_gU-2/
szuyu_0227,Krystal,609870210,41,5533,4779,2026-08-03T08:20:59.000Z,false,https://www.instagram.com/p/Dbki0jyRoZV/
ch_youci,Youci,2069342697,55,61220,49489,2026-07-24T12:45:05.000Z,true,https://www.instagram.com/p/DbLOt-vT09a/
